g,dB,WWseedDensity,RWseedDensity,RRseedDensity,WWplantDensity,RWplantDensity,RRplantDensity
0.01,0.0113131313131313,56698.537483866,0.0237485369432596,0.0514284239577923,169.812618059101,7.21345855336298e-05,0.000155585723443057
0.011,0.0124570273003033,56318.7987516013,0.0230705688556756,0.0502640384553205,172.466466910019,7.15547132216649e-05,0.000155353621253676
0.012,0.0136032388663968,55932.2144761755,0.0224503583438739,0.0491801844619079,174.82153858226,7.09931652497159e-05,0.000155039640043946
0.013,0.0147517730496454,55540.1974479321,0.0218787574296848,0.0481654002098503,176.924959830251,7.04496433171589e-05,0.00015466468458259
0.014,0.0159026369168357,55143.9061669226,0.0213486006205457,0.0472105356153989,178.814467671986,6.99239187741374e-05,0.000154244640760407
0.015,0.0170558375634518,54744.3025798534,0.0208541731368698,0.0463081643139819,180.52063413,6.94156834418762e-05,0.000153791624769895
0.016,0.0182113821138211,54342.194073814,0.0203908465122602,0.0454521735732752,182.068487289091,6.89245161325147e-05,0.000153314909851905
0.017,0.0193692777212614,53938.2646481934,0.0199548219734589,0.0446374706366125,183.478711551626,6.84498932643854e-05,0.000152821614084237
0.018,0.0205295315682281,53533.0984741995,0.0195429453951561,0.043859767592274,184.76854924107,6.79912132737906e-05,0.000152317212699022
0.019,0.0216921508664628,53127.1979888904,0.0191525710820491,0.043115420607722,185.952486779713,6.75478224244183e-05,0.000151805921714587
0.02,0.0228571428571429,52720.9979927535,0.0187814596570633,0.0424013076773566,187.042783171075,6.71190374190377e-05,0.000151290986934215
0.021,0.0240245148110317,52314.876776632,0.0184277002766088,0.0417147342148935,188.049881488471,6.67041635687113e-05,0.000150774903016447
0.022,0.0251942740286299,51909.1650074923,0.0180896505237294,0.0410533591443655,188.982732493839,6.63025086403529e-05,0.000150259580567494
0.023,0.0263664278403275,51504.1529004717,0.0177658893630904,0.0404151363276975,189.849051511603,6.59133929878828e-05,0.000149746474352325
0.024,0.0275409836065574,51100.0960643288,0.0174551798926755,0.0397982676344882,190.655524072787,6.55361566759671e-05,0.000149236682232002
0.025,0.0287179487179487,50697.2203083699,0.0171564395432875,0.0392011649659973,191.407971856847,6.51701642559081e-05,0.000148731021918967
0.026,0.0298973305954825,50295.7256279336,0.0168687160099934,0.0386224192480663,192.111487587912,6.48148077528188e-05,0.000148230090818863
0.027,0.0310791366906475,49895.7895339265,0.016591167644506,0.0380607749066312,192.77054545122,6.44695083158511e-05,0.000147734312898747
0.028,0.0322633744855967,49497.5698539347,0.0163230473549446,0.0375151086991072,193.389092055941,6.41337168863372e-05,0.000147243975546932
0.029,0.0334500514933059,49101.207104153,0.0160636892891946,0.036984412037778,193.970621825463,6.38069141575344e-05,0.000146759258670292
0.03,0.034639175257732,48706.8265100796,0.0158124977465594,0.0364677761358924,194.51823983636,6.34886100343477e-05,0.000146280257740284
0.031,0.0358307533539732,48314.5397377271,0.0155689378874292,0.0359643794529099,195.034714475846,6.31783427500871e-05,0.000145807002099234
0.032,0.0370247933884298,47924.446384658,0.0153325279045006,0.0354734770256844,195.522521789946,6.28756777575859e-05,0.00014533946953767
0.033,0.0382213029989659,47536.6352705175,0.015102832390199,0.0349943913567742,195.98388301145,6.25802064815733e-05,0.000144877597925794
0.034,0.0394202898550725,47151.1855592045,0.0148794566893832,0.0345265045962162,196.420796459589,6.22915449960278e-05,0.000144421294508858
0.035,0.0406217616580311,46768.1677388948,0.014662042068441,0.0340692518038394,196.835064771256,6.200933267272e-05,0.000143970443343445
0.036,0.0418257261410788,46387.6444814282,0.0144502615646025,0.0336221151190232,197.228318241112,6.17332308339541e-05,0.000143524911249542
0.037,0.0430321910695742,46009.6713988153,0.0142438164049732,0.0331846186963077,197.602034903514,6.14629214326227e-05,0.000143084552574201
0.038,0.0442411642411642,45634.2977116037,0.0140424329050831,0.0327563242903608,197.95755787433,6.11981057753059e-05,0.000142649213001169
0.039,0.0454526534859521,45261.5668413982,0.0138458597728887,0.0323368273939321,198.296110378685,6.0938503298662e-05,0.00014221873259287
0.04,0.0466666666666667,44891.5169378497,0.0136538657571018,0.0319257538486626,198.618808816705,6.06838504053189e-05,0.000141792948213471
0.041,0.0478832116788321,44524.1813487957,0.0134662375891352,0.0315227568617973,198.926674159431,6.0433899362515e-05,0.000141371695452092
0.042,0.0491022964509395,44159.589040907,0.0132827781763978,0.0311275143726103,199.220641918448,6.01884172646049e-05,0.000140954810141812
0.043,0.0503239289446186,43797.764977086,0.0131033050115506,0.0307397267211716,199.50157089302,5.99471850590203e-05,0.000140542129551442
0.044,0.0515481171548117,43438.7304559485,0.012927648767968,0.0303591145793655,199.770250865934,5.97099966342133e-05,0.000140133493312249
0.045,0.0527748691099477,43082.5034179549,0.0127556520562811,0.0299854171100977,200.027409392433,5.94766579673934e-05,0.00013972874412994
0.046,0.0540041928721174,42729.098722117,0.012587168320713,0.02961839032564,200.273717804371,5.92469863294036e-05,0.000139327728322709
0.047,0.0552360965372508,42378.5283966689,0.0124220608570942,0.0292578056202568,200.509796533347,5.90208095438042e-05,0.000138930296218491
0.048,0.0564705882352941,42030.8018666343,0.0122602019371011,0.0289034484557684,200.736219841142,5.87979652970984e-05,0.000138536302438419
0.049,0.0577076761303891,41685.9261608365,0.0121014720254754,0.028555117181668,200.953520032998,5.85783004969917e-05,0.000138145606088471
0.05,0.0589473684210526,41343.9061005726,0.0119457590788513,0.028212621973912,201.162191218419,5.83616706756112e-05,0.000137758070877264
0.051,0.0601896733403583,41004.7444718895,0.0117929579163867,0.0278757838786214,201.362692675164,5.81479394346904e-05,0.000137373565174643
0.052,0.0614345991561181,40668.4421831622,0.0116429696537265,0.0275444339487421,201.555451864348,5.79369779298415e-05,0.000136991962023072
0.053,0.0626821541710665,40334.9984094674,0.011495701192954,0.0272184124632483,201.740867138137,5.77286643911701e-05,0.000136613139111609
0.054,0.0639323467230444,40004.4107250697,0.0113510647621502,0.0268975682197958,201.919310175918,5.75228836776366e-05,0.000136236978720488
