AsexualSexual,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0,1,0.147,4.87074829931973,0.853,Inf,1,4.91156462585034,1,5.82993197278912
0,2,0.105,2.08333333333333,0.895,Inf,1,5.01904761904762,1,5.98095238095238
0,3,0.126,1.55555555555556,0.874,Inf,1,4.68253968253968,1,5.64285714285714
0,4,0.127,1.19405940594059,0.873,Inf,1,4.79527559055118,1,5.7007874015748
0,5,0.122,0.822966507177033,0.878,Inf,1,4.26229508196721,1,5.19672131147541
0,6,0.132,1.05401844532279,0.868,Inf,1,6.07575757575758,1,7.04545454545455
0,7,0.128,0.689966178128523,0.872,Inf,1,4.8125,1,5.75
0,8,0.126,0.556762092793682,0.874,Inf,1,4.53174603174603,1,5.42063492063492
0,9,0.117,0.467256637168142,0.883,Inf,1,4.54700854700855,1,5.47863247863248
0,10,0.117,0.468323977546111,0.883,Inf,1,5.02564102564103,1,5.95726495726496
0,11,0.126,0.410050983248361,0.874,Inf,1,4.53174603174603,1,5.40476190476191
0,12,0.123,0.412433155080214,0.877,Inf,1,5.03252032520325,1,6
0,13,0.135,0.42611894543225,0.865,Inf,1,5.17037037037037,1,6.12592592592593
0,14,0.118,0.348770726129217,0.882,Inf,1,5.23728813559322,1,6.10169491525424
0,15,0.114,0.278046162104133,0.886,Inf,1,4.58771929824561,1,5.5
0,16,0.131,0.33099297893681,0.869,Inf,1,5.0763358778626,1,6
0,17,0.125,0.27796130250118,0.875,Inf,1,4.76,1,5.656
0,18,0.126,0.283741648106904,0.874,Inf,1,5.06349206349206,1,6.03968253968254
0,19,0.121,0.262045646661031,0.879,Inf,1,5.1900826446281,1,6.0495867768595
0,20,0.114,0.194354838709677,0.886,Inf,1,4.26315789473684,1,5.19298245614035
0,21,0.128,0.249616564417178,0.872,Inf,1,5.140625,1,6.03125
0,22,0.121,0.207035544155368,0.879,Inf,1,4.69421487603306,1,5.64462809917355
0,23,0.127,0.236344537815126,0.873,Inf,1,5.33070866141732,1,6.2992125984252
0,24,0.122,0.211215580926797,0.878,Inf,1,5.20491803278689,1,6.10655737704918
0,25,0.128,0.198003863490019,0.872,Inf,1,4.8515625,1,5.7578125
0,26,0.112,0.165941578620261,0.888,Inf,1,4.82142857142857,1,5.71428571428571
0,27,0.104,0.152016857314871,0.896,Inf,1,4.88461538461539,1,5.82692307692308
0,28,0.124,0.186883343006384,0.876,Inf,1,5.2258064516129,1,6.16129032258065
0,29,0.116,0.161706906232454,0.884,Inf,1,4.98275862068965,1,5.94827586206897
0,30,0.124,0.168746608790016,0.876,Inf,1,5.07258064516129,1,5.95967741935484
0,31,0.131,0.171338747707624,0.869,Inf,1,5.05343511450382,1,5.93129770992366
0,32,0.108,0.118216560509554,0.892,Inf,1,4.30555555555556,1,5.28703703703704
0,33,0.102,0.131859945368761,0.898,Inf,1,5.2156862745098,1,6.19607843137255
0,34,0.103,0.106537530266344,0.897,Inf,1,4.31067961165049,1,5.23300970873786
0,35,0.118,0.135122410546139,0.882,Inf,1,4.90677966101695,1,5.82203389830508
0,36,0.117,0.131958762886598,0.883,Inf,1,4.96581196581197,1,5.88034188034188
0,37,0.121,0.133749442710655,0.879,Inf,1,4.98347107438016,1,5.93388429752066
0,38,0.117,0.128177275689768,0.883,Inf,1,5.12820512820513,1,5.95726495726496
0,39,0.127,0.149260042283298,0.873,Inf,1,5.59055118110236,1,6.52755905511811
0,40,0.121,0.136054421768707,0.879,Inf,1,5.47933884297521,1,6.4297520661157
0,41,0.122,0.1116026543334,0.878,Inf,1,4.55737704918033,1,5.54098360655738
0,42,0.121,0.11523360816647,0.879,Inf,1,4.90082644628099,1,5.80165289256198
0,43,0.134,0.131216526396327,0.866,Inf,1,5.16417910447761,1,6.07462686567164
0,44,0.112,0.098314606741573,0.888,Inf,1,4.73214285714286,1,5.64285714285714
0,45,0.13,0.125045703839122,0.87,Inf,1,5.30769230769231,1,6.21538461538462
0,46,0.128,0.114862450875313,0.872,Inf,1,5.0625,1,5.984375
0,47,0.115,0.108874496761771,0.885,Inf,1,5.47826086956522,1,6.33913043478261
0,48,0.123,0.0945853324194654,0.877,Inf,1,4.52845528455285,1,5.44715447154472
0,49,0.133,0.111408946222148,0.867,Inf,1,5.03759398496241,1,5.96240601503759
0,50,0.113,0.0753041762578099,0.887,Inf,1,4.08849557522124,1,5.01769911504425
0,51,0.132,0.109108464757,0.868,Inf,1,5.20454545454545,1,6.06818181818182
0,52,0.111,0.0746245059288538,0.889,Inf,1,4.31531531531532,1,5.18918918918919
0,53,0.125,0.0986046511627907,0.875,Inf,1,5.136,1,6.04
0,54,0.1,0.0726717557251908,0.9,Inf,1,4.83,1,5.69
0,55,0.139,0.111974884138137,0.861,Inf,1,5.41726618705036,1,6.35971223021583
0,56,0.133,0.0963060686015831,0.867,Inf,1,5.02255639097744,1,5.85714285714286
0,57,0.142,0.0972142446869615,0.858,Inf,1,4.84507042253521,1,5.69014084507042
0,58,0.111,0.0838162544169611,0.889,Inf,1,5.37837837837838,1,6.30630630630631
0,59,0.101,0.0720457079152731,0.899,Inf,1,5.16831683168317,1,6.06930693069307
0,60,0.117,0.0769230769230769,0.883,Inf,1,4.83760683760684,1,5.75213675213675
0,61,0.105,0.0709651257096513,0.895,Inf,1,5.04761904761905,1,5.95238095238095
0,62,0.107,0.0662225183211193,0.893,Inf,1,4.70093457943925,1,5.58878504672897
0,63,0.118,0.0741178013905287,0.882,Inf,1,4.80508474576271,1,5.76271186440678
0,64,0.121,0.0736053719008264,0.879,Inf,1,4.7603305785124,1,5.66115702479339
0,65,0.125,0.080442241707968,0.875,Inf,1,5.12,1,6.008
0,66,0.114,0.0724038581986722,0.886,Inf,1,5.13157894736842,1,6.00877192982456
0,67,0.126,0.0836108028116907,0.874,Inf,1,5.44444444444444,1,6.31746031746032
0,68,0.099,0.0512914230019493,0.901,Inf,1,4.28282828282828,1,5.22222222222222
0,69,0.124,0.071051368218915,0.876,Inf,1,4.79032258064516,1,5.75806451612903
0,70,0.12,0.0715806909607194,0.88,Inf,1,5.06666666666667,1,6.01666666666667
0,71,0.118,0.070828471411902,0.882,Inf,1,5.17796610169492,1,6.11016949152542
0,72,0.131,0.0607976094701758,0.869,Inf,1,4.06870229007634,1,5.00763358778626
0,73,0.115,0.0614791288566243,0.885,Inf,1,4.73913043478261,1,5.68695652173913
0,74,0.117,0.0621291839247733,0.883,Inf,1,4.77777777777778,1,5.70940170940171
0,75,0.113,0.0594738005748397,0.887,Inf,1,4.83185840707965,1,5.69026548672566
0,76,0.103,0.067548365941633,0.897,Inf,1,6.00970873786408,1,6.99029126213592
0,77,0.124,0.0703116575002696,0.876,Inf,1,5.2741935483871,1,6.23387096774194
0,78,0.121,0.0571641473280818,0.879,Inf,1,4.45454545454545,1,5.42148760330578
0,79,0.127,0.05881735111858,0.873,Inf,1,4.47244094488189,1,5.34645669291339
0,80,0.121,0.0536195809997926,0.879,Inf,1,4.28925619834711,1,5.25619834710744
0,81,0.114,0.0604756047560476,0.886,Inf,1,5.21929824561404,1,6.13157894736842
0,82,0.108,0.0512976480129765,0.892,Inf,1,4.72222222222222,1,5.63888888888889
0,83,0.114,0.0629384646221688,0.886,Inf,1,5.57017543859649,1,6.44736842105263
0,84,0.144,0.0622406639004149,0.856,Inf,1,4.42361111111111,1,5.32638888888889
0,85,0.118,0.05537109375,0.882,Inf,1,4.83898305084746,1,5.77118644067797
0,86,0.121,0.0604188784866326,0.879,Inf,1,5.21487603305785,1,6.13223140495868
0,87,0.102,0.0418617987192966,0.898,Inf,1,4.34313725490196,1,5.24509803921569
0,88,0.123,0.052049877196297,0.877,Inf,1,4.52845528455285,1,5.43089430894309
0,89,0.134,0.0548507462686567,0.866,Inf,1,4.44029850746269,1,5.33582089552239
0,90,0.115,0.0456852791878173,0.885,Inf,1,4.39130434782609,1,5.21739130434783
0,91,0.119,0.0466496257075041,0.881,Inf,1,4.35294117647059,1,5.23529411764706
0,92,0.116,0.0544715447154472,0.884,Inf,1,5.25862068965517,1,6.13793103448276
0,93,0.124,0.0569054850812935,0.876,Inf,1,5.17741935483871,1,6.09677419354839
0,94,0.126,0.0564487632508834,0.874,Inf,1,5.1031746031746,1,6.03968253968254
0,95,0.144,0.0571353803210049,0.856,Inf,1,4.58333333333333,1,5.51388888888889
0,96,0.131,0.0510564898663217,0.869,Inf,1,4.6030534351145,1,5.43511450381679
0,97,0.119,0.0420010244152296,0.881,Inf,1,4.19327731092437,1,5.07563025210084
0,98,0.126,0.0539695945945946,0.874,Inf,1,5.12698412698413,1,6.00793650793651
0,99,0.118,0.0486703462117411,0.882,Inf,1,4.96610169491525,1,5.89830508474576
0,100,0.107,0.0383754662246167,0.893,Inf,1,4.36448598130841,1,5.2803738317757
0.00207185590932769,1,0.135,0.0700372979693328,0.865,Inf,1,6.2962962962963,1,7.22222222222222
0.00207185590932769,2,0.122,0.0509738914214671,0.878,Inf,1,5.08196721311475,1,6
0.00207185590932769,3,0.144,0.0675507666804807,0.856,Inf,1,5.70138888888889,1,6.61805555555556
0.00207185590932769,4,0.137,0.0665561541649399,0.863,Inf,1,5.87591240875912,1,6.84671532846715
0.00207185590932769,5,0.141,0.0640696228760879,0.859,Inf,1,5.5177304964539,1,6.4468085106383
0.00207185590932769,6,0.126,0.0530460008288438,0.874,Inf,1,5.11904761904762,1,6.03968253968254
0.00207185590932769,7,0.132,0.0486531288852051,0.868,Inf,1,4.49242424242424,1,5.40151515151515
0.00207185590932769,8,0.14,0.0749274761707418,0.86,Inf,1,6.46428571428571,1,7.45
0.00207185590932769,9,0.143,0.0650642353916287,0.857,Inf,1,5.53846153846154,1,6.44055944055944
0.00207185590932769,10,0.139,0.0604227103191049,0.861,Inf,1,5.28776978417266,1,6.20143884892086
0.00207185590932769,11,0.143,0.0640696228760879,0.857,Inf,1,5.43356643356643,1,6.37762237762238
0.00207185590932769,12,0.158,0.077579776212184,0.842,Inf,1,5.93670886075949,1,6.91139240506329
0.00207185590932769,13,0.125,0.0551181102362205,0.875,Inf,1,5.344,1,6.296
0.00207185590932769,14,0.136,0.0589307915457936,0.864,Inf,1,5.26470588235294,1,6.19117647058824
0.00207185590932769,15,0.117,0.0510567757977621,0.883,Inf,1,5.29059829059829,1,6.23931623931624
0.00207185590932769,16,0.118,0.0485702445089101,0.882,Inf,1,4.98305084745763,1,5.94915254237288
0.00207185590932769,17,0.146,0.0652300041442188,0.854,Inf,1,5.45205479452055,1,6.32876712328767
0.00207185590932769,18,0.137,0.0534604227103191,0.863,Inf,1,4.76642335766423,1,5.64963503649635
0.00207185590932769,19,0.138,0.0707832573559884,0.862,Inf,1,6.23913043478261,1,7.1304347826087
0.00207185590932769,20,0.132,0.0621632822213013,0.868,Inf,1,5.70454545454545,1,6.65909090909091
0.00207185590932769,21,0.13,0.0609200165768753,0.87,Inf,1,5.7,1,6.6
0.00207185590932769,22,0.128,0.0614173228346457,0.872,Inf,1,5.8125,1,6.765625
0.00207185590932769,23,0.139,0.0634894322420224,0.861,Inf,1,5.53956834532374,1,6.47482014388489
0.00207185590932769,24,0.136,0.0627434728553668,0.864,Inf,1,5.63970588235294,1,6.49264705882353
0.00207185590932769,25,0.143,0.0688769167012018,0.857,Inf,1,5.87412587412587,1,6.74825174825175
0.00207185590932769,26,0.127,0.0572731040198923,0.873,Inf,1,5.4488188976378,1,6.43307086614173
0.00207185590932769,27,0.131,0.0581019477828429,0.869,Inf,1,5.38931297709924,1,6.31297709923664
0.00207185590932769,28,0.138,0.0586821384169084,0.862,Inf,1,5.14492753623188,1,6.11594202898551
0.00207185590932769,29,0.122,0.0688769167012018,0.878,Inf,1,6.85245901639344,1,7.77049180327869
0.00207185590932769,30,0.132,0.0601740571902196,0.868,Inf,1,5.54545454545455,1,6.45454545454545
0.00207185590932769,31,0.133,0.0629092416079569,0.867,Inf,1,5.7218045112782,1,6.69172932330827
0.00207185590932769,32,0.134,0.0686282635723166,0.866,Inf,1,6.22388059701493,1,7.13432835820895
0.00207185590932769,33,0.118,0.0509738914214671,0.882,Inf,1,5.22033898305085,1,6.20338983050847
0.00207185590932769,34,0.131,0.059345213427269,0.869,Inf,1,5.47328244274809,1,6.45801526717557
0.00207185590932769,35,0.133,0.0647326978864484,0.867,Inf,1,5.90225563909774,1,6.84210526315789
0.00207185590932769,36,0.141,0.0620803978450062,0.859,Inf,1,5.34751773049645,1,6.27659574468085
0.00207185590932769,37,0.11,0.0469954413593038,0.89,Inf,1,5.20909090909091,1,6.1
0.00207185590932769,38,0.134,0.0670534604227103,0.866,Inf,1,6.08208955223881,1,6.99253731343284
0.00207185590932769,39,0.142,0.0498135101533361,0.858,Inf,1,4.26760563380282,1,5.19718309859155
0.00207185590932769,40,0.155,0.0725238292581848,0.845,Inf,1,5.67741935483871,1,6.61290322580645
0.00207185590932769,41,0.112,0.0490675507666805,0.888,Inf,1,5.33035714285714,1,6.24107142857143
0.00207185590932769,42,0.136,0.069125569830087,0.864,Inf,1,6.16176470588235,1,7.10294117647059
0.00207185590932769,43,0.132,0.0671363447990054,0.868,Inf,1,6.15909090909091,1,7.11363636363636
0.00207185590932769,44,0.115,0.0439287194363862,0.885,Inf,1,4.69565217391304,1,5.52173913043478
0.00207185590932769,45,0.125,0.0562784915043514,0.875,Inf,1,5.472,1,6.392
0.00207185590932769,46,0.139,0.0658930791545794,0.861,Inf,1,5.75539568345324,1,6.68345323741007
0.00207185590932769,47,0.161,0.0707003729796933,0.839,Inf,1,5.30434782608696,1,6.29192546583851
0.00207185590932769,48,0.125,0.0583506009117281,0.875,Inf,1,5.672,1,6.592
0.00207185590932769,49,0.13,0.0673849979278906,0.87,Inf,1,6.29230769230769,1,7.21538461538462
0.00207185590932769,50,0.142,0.0639038541234977,0.858,Inf,1,5.48591549295775,1,6.37323943661972
0.00207185590932769,51,0.136,0.0567757977621218,0.864,Inf,1,5.09558823529412,1,5.97794117647059
0.00207185590932769,52,0.135,0.0641525072523829,0.865,Inf,1,5.76296296296296,1,6.7037037037037
0.00207185590932769,53,0.132,0.0639867384997928,0.868,Inf,1,5.87878787878788,1,6.81818181818182
0.00207185590932769,54,0.129,0.0634065478657273,0.871,Inf,1,5.96124031007752,1,6.89922480620155
