AsexualSexual,WW,RW,RR
0,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
1.02621062140308e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
2.05251799291029e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
3.07892212820454e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
4.1054230409713e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
5.13202074489864e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
6.15871525367719e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
7.18550658100018e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
8.21239474056341e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
9.23937974606528e-05,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000102664616112068,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000112936403496914,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000123209159752253,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000133482885015173,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000143757579422787,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000154033243112232,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000164309876220676,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000174587478885307,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000184866051243344,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000195145593432027,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000205426105588627,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000215707587850437,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000225990040354777,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000236273463238995,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000246557856640461,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000256843220696574,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000267129555544757,0.999999935738467,4.00979989811035e-08,2.41635336047259e-08
0.000277416861322462,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000287705138167163,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000297994386216363,0.999999935738467,4.00979989811035e-08,2.41635336047259e-08
0.000308284605607589,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000318575796478396,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000328867958966362,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000339161093209093,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000349455199344222,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000359750277509406,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000370046327842329,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.0003803433504807,0.999999935738467,4.00979989811035e-08,2.41635336047259e-08
0.000390641345562255,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000400940313224755,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.00041124025360599,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000421541166843771,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.00043184305307594,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000442145912440361,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000452449745074928,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000462754551117557,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000473060330706193,0.999999935738467,4.00979989811035e-08,2.41635336047259e-08
0.000483367083978806,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000493674811073392,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000503983512127974,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
0.000514293187280599,0.999999935738467,4.00979989811035e-08,2.4163533604726e-08
