SeedDensity,PlantDensity,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
80,1,65,0.328,0.285832320777643,0.672,Inf,1,18.1702786377709,1,2.4
80,1,66,0.319,0.271274049966498,0.681,Inf,1,18.0254777070064,1,1.5
80,1,67,0.319,0.244472728986942,0.681,Inf,1,16.4018987341772,1,1
80,1,68,0.313,0.26140481278454,0.687,Inf,1,18.1974110032362,1,1
80,1,69,0.343,0.257396314417669,0.657,Inf,1,16.5870206489676,1,1.4
80,1,70,0.307,0.233676046176046,0.693,Inf,1,17.0197368421053,1,2.66666666666667
80,1,71,0.32,0.267291963015647,0.68,Inf,1,19.003164556962,1,2
80,1,72,0.303,0.206938900828984,0.697,Inf,1,15.8918918918919,1,1.875
80,1,73,0.338,0.248692570341877,0.662,Inf,1,17.1582089552239,1,1.75
80,1,74,0.324,0.249733600443289,0.676,Inf,1,18.290625,1,1.4
80,1,75,0.312,0.242207546376141,0.688,Inf,1,18.6785714285714,1,1.2
80,1,76,0.316,0.246128938519656,0.684,Inf,1,19.2142857142857,1,1.375
80,1,77,0.313,0.221457257601836,0.687,Inf,1,17.4225806451613,1,1
80,1,78,0.295,0.207879499534356,0.705,Inf,1,17.6254295532646,1,1.2
80,1,79,0.319,0.209306044131756,0.681,Inf,1,16.5601265822785,1,1
80,1,80,0.335,0.238846593822729,0.665,Inf,1,18.1741741741742,1,1.5
80,1,81,0.318,0.195683509291363,0.682,Inf,1,16.0223642172524,1,1.6
80,1,82,0.319,0.218254579036478,0.681,Inf,1,18.0477707006369,1,1
80,1,83,0.318,0.193415950733673,0.682,Inf,1,16.1333333333333,1,2
80,1,84,0.308,0.214774179003532,0.692,Inf,1,18.7344262295082,1,0.8
80,1,85,0.314,0.204953951277481,0.686,Inf,1,17.8831168831169,1,1.83333333333333
80,1,86,0.303,0.200066101134736,0.697,Inf,1,18.14,1,1.75
80,1,87,0.29,0.177173794556884,0.71,Inf,1,17,1,3.5
80,1,88,0.328,0.20553700312399,0.672,Inf,1,17.5490797546012,1,1.5
80,1,89,0.301,0.18316163410302,0.699,Inf,1,17.2919463087248,1,1
80,1,90,0.303,0.161564685621903,0.697,Inf,1,15.4966216216216,1,1.42857142857143
80,1,91,0.32,0.184200465714385,0.68,Inf,1,17.1003236245955,1,1.45454545454545
80,1,92,0.318,0.204049362345743,0.682,Inf,1,18.8285714285714,1,1.66666666666667
80,1,93,0.322,0.171352803182266,0.678,Inf,1,15.8270440251572,1,1.75
80,1,94,0.281,0.165757392065737,0.719,Inf,1,17.8115942028986,1,1.16666666666667
80,1,95,0.31,0.152779629382749,0.69,Inf,1,14.9153094462541,1,1.66666666666667
80,1,96,0.291,0.168113550090774,0.709,Inf,1,17.6055363321799,1,2.5
80,1,97,0.31,0.179415128247018,0.69,Inf,1,17.9704918032787,1,1.83333333333333
80,1,98,0.32,0.179822150363783,0.68,Inf,1,17.5362776025237,1,0.75
80,1,99,0.328,0.171087575592743,0.672,Inf,1,16.5807453416149,1,1.25
80,1,100,0.3,0.147244319082179,0.7,Inf,1,15.6329966329966,1,1
120,1.5,1,0.386,0.202865020758723,0.614,Inf,1,16.738219895288,1,1.5
120,1.5,2,0.416,0.21132697366336,0.584,Inf,1,16.1747572815534,1,1
120,1.5,3,0.429,0.236617754254746,0.571,Inf,1,17.7852028639618,1,1.4
120,1.5,4,0.394,0.204417963426616,0.606,Inf,1,16.7447916666667,1,1.83333333333333
120,1.5,5,0.412,0.196399708427091,0.588,Inf,1,15.243842364532,1,1.33333333333333
120,1.5,6,0.365,0.176718537064621,0.635,Inf,1,15.5530726256983,1,1.125
120,1.5,7,0.387,0.195290463664311,0.613,Inf,1,16.4664879356568,1,1.4
120,1.5,8,0.398,0.193008588723735,0.602,Inf,1,15.5102040816327,1,1.57142857142857
120,1.5,9,0.404,0.187113745127246,0.596,Inf,1,14.8140703517588,1,1.2
120,1.5,10,0.382,0.18340569834881,0.618,Inf,1,15.2612137203166,1,1
120,1.5,11,0.419,0.18388108896143,0.581,Inf,1,13.966265060241,1,1.28571428571429
120,1.5,12,0.429,0.227331790954901,0.571,Inf,1,16.9715639810427,1,1.57142857142857
120,1.5,13,0.389,0.203245333248819,0.611,Inf,1,16.7180156657963,1,1.66666666666667
120,1.5,14,0.379,0.188096219059994,0.621,Inf,1,15.8133333333333,1,1.2
120,1.5,15,0.41,0.20688999461224,0.59,Inf,1,16.1361386138614,1,1.33333333333333
120,1.5,16,0.383,0.184007859791462,0.617,Inf,1,15.2657894736842,1,1.4
120,1.5,17,0.381,0.182581687953602,0.619,Inf,1,15.5663956639566,1,1.41666666666667
120,1.5,18,0.399,0.196938484454727,0.601,Inf,1,15.9076923076923,1,1.11111111111111
120,1.5,19,0.376,0.175577599594333,0.624,Inf,1,14.8870967741935,1,0.666666666666667
120,1.5,20,0.368,0.179729344277882,0.632,Inf,1,15.7222222222222,1,1.27272727272727
120,1.5,21,0.385,0.204956739454252,0.615,Inf,1,17.0316622691293,1,1.85714285714286
120,1.5,22,0.402,0.209995879948024,0.598,Inf,1,16.6356783919598,1,1.16666666666667
120,1.5,23,0.377,0.176433302697049,0.623,Inf,1,14.9008042895442,1,2
120,1.5,24,0.374,0.195797546984439,0.626,Inf,1,16.6415094339623,1,1.33333333333333
120,1.5,25,0.372,0.182011219218458,0.628,Inf,1,15.728021978022,1,1.90909090909091
120,1.5,26,0.386,0.209678952872944,0.614,Inf,1,17.2291666666667,1,0.6
120,1.5,27,0.399,0.208759864355212,0.601,Inf,1,16.6607594936709,1,1.4
120,1.5,28,0.385,0.183152156688746,0.615,Inf,1,15.4144385026738,1,1.25
120,1.5,29,0.389,0.195607390739391,0.611,Inf,1,16.0546875,1,1.4
120,1.5,30,0.368,0.168858745602637,0.632,Inf,1,14.9213483146067,1,1.30769230769231
120,1.5,31,0.398,0.182740151491142,0.602,Inf,1,14.6539440203562,1,1.4
120,1.5,32,0.364,0.219598770322949,0.636,Inf,1,19.3809523809524,1,1.27272727272727
120,1.5,33,0.403,0.202484708268627,0.597,Inf,1,16.0680100755668,1,1.57142857142857
120,1.5,34,0.372,0.18277184419865,0.628,Inf,1,15.6494565217391,1,1.66666666666667
120,1.5,35,0.419,0.21101004658828,0.581,Inf,1,16.2420537897311,1,1.45454545454545
120,1.5,36,0.372,0.18356416188635,0.628,Inf,1,15.7629427792916,1,1.4
120,1.5,37,0.375,0.175419136056793,0.625,Inf,1,14.9486486486486,1,0.857142857142857
120,1.5,38,0.419,0.20482996862422,0.581,Inf,1,15.7048780487805,1,2.5
120,1.5,39,0.382,0.201755775995943,0.618,Inf,1,16.9095744680851,1,1.28571428571429
120,1.5,40,0.357,0.177289005799765,0.643,Inf,1,15.8721590909091,1,1.4
120,1.5,41,0.372,0.204227807181568,0.628,Inf,1,17.6620879120879,1,1.7
120,1.5,42,0.385,0.173168953823725,0.615,Inf,1,14.3984168865435,1,1.14285714285714
120,1.5,43,0.404,0.201185307260799,0.596,Inf,1,15.9221105527638,1,1.71428571428571
120,1.5,44,0.376,0.166862105029633,0.624,Inf,1,14.1972972972973,1,1.75
120,1.5,45,0.401,0.196558171964631,0.599,Inf,1,15.6708860759494,1,2
120,1.5,46,0.397,0.195290463664311,0.603,Inf,1,15.7289002557545,1,1.85714285714286
120,1.5,47,0.394,0.197825880264951,0.606,Inf,1,16.161038961039,1,2
120,1.5,48,0.437,0.211263588248344,0.563,Inf,1,15.352534562212,1,1
120,1.5,49,0.395,0.197984343802491,0.605,Inf,1,16.3167539267016,1,1.05882352941176
120,1.5,50,0.395,0.190441479415586,0.605,Inf,1,15.5012919896641,1,1.3
120,1.5,51,0.393,0.180965359870694,0.607,Inf,1,14.733850129199,1,1.25
120,1.5,52,0.405,0.21211929135106,0.595,Inf,1,16.7543859649123,1,1.28571428571429
120,1.5,53,0.403,0.213006687161284,0.597,Inf,1,16.8320802005013,1,1.25
120,1.5,54,0.386,0.185560802459354,0.614,Inf,1,15.3490813648294,1,1.375
120,1.5,55,0.374,0.175926219376921,0.626,Inf,1,15.1420765027322,1,1.11111111111111
120,1.5,56,0.377,0.200171140620543,0.623,Inf,1,16.9973045822102,1,1.66666666666667
120,1.5,57,0.373,0.202389630146103,0.627,Inf,1,17.4862637362637,1,2.2
120,1.5,58,0.39,0.192818432478687,0.61,Inf,1,15.8125,1,1.85714285714286
120,1.5,59,0.386,0.199980984375495,0.614,Inf,1,16.5459317585302,1,1.16666666666667
120,1.5,60,0.386,0.193483979336355,0.614,Inf,1,15.9633507853403,1,1.6
120,1.5,61,0.386,0.168383354990017,0.614,Inf,1,13.9526315789474,1,1.625
120,1.5,62,0.386,0.199378822932843,0.614,Inf,1,16.3776041666667,1,1
120,1.5,63,0.387,0.18895192216271,0.613,Inf,1,15.5890052356021,1,1.4
120,1.5,64,0.393,0.18055335467309,0.607,Inf,1,14.8250652741514,1,1.75
120,1.5,65,0.381,0.18372262542389,0.619,Inf,1,15.5067024128686,1,1.5
120,1.5,66,0.385,0.205432130066872,0.615,Inf,1,17.0817941952507,1,1.2
120,1.5,67,0.387,0.206351218584604,0.613,Inf,1,17.0629921259843,1,1.57142857142857
120,1.5,68,0.383,0.196209552182043,0.617,Inf,1,16.438829787234,1,1.42857142857143
120,1.5,69,0.365,0.179349031787786,0.635,Inf,1,15.7849162011173,1,1.14285714285714
120,1.5,70,0.41,0.209869109117992,0.59,Inf,1,16.2881773399015,1,2
120,1.5,71,0.405,0.20467150508668,0.595,Inf,1,16.2443324937028,1,1.11111111111111
120,1.5,72,0.403,0.2106931195132,0.597,Inf,1,16.8727735368957,1,1.7
120,1.5,73,0.389,0.204101036351536,0.611,Inf,1,16.8429319371728,1,0.888888888888889
120,1.5,74,0.386,0.197128640699775,0.614,Inf,1,16.3746701846966,1,2
120,1.5,75,0.378,0.181567521313346,0.622,Inf,1,15.5244565217391,1,1.54545454545455
120,1.5,76,0.388,0.197825880264951,0.612,Inf,1,16.3868421052632,1,1.77777777777778
120,1.5,77,0.418,0.191328875225811,0.582,Inf,1,14.7334963325183,1,1.2
120,1.5,78,0.371,0.191487338763351,0.629,Inf,1,16.6060606060606,1,1.54545454545455
120,1.5,79,0.34,0.177162234969733,0.66,Inf,1,16.6597014925373,1,1.8
120,1.5,80,0.368,0.177415776629797,0.632,Inf,1,15.5166666666667,1,1.4
120,1.5,81,0.389,0.198332963585079,0.611,Inf,1,16.2786458333333,1,1.28571428571429
120,1.5,82,0.393,0.198079421925015,0.607,Inf,1,16.2025974025974,1,1.36363636363636
120,1.5,83,0.39,0.186670047222134,0.61,Inf,1,15.240932642487,1,1.42857142857143
120,1.5,84,0.389,0.189300541945298,0.611,Inf,1,15.53125,1,1.66666666666667
120,1.5,85,0.395,0.187240515957278,0.605,Inf,1,15.2036082474227,1,1.25
120,1.5,86,0.388,0.21180236427598,0.612,Inf,1,17.3932291666667,1,1
120,1.5,87,0.412,0.23512819700187,0.588,Inf,1,18.2113022113022,1,1.25
120,1.5,88,0.393,0.21005926536304,0.607,Inf,1,17.2984293193717,1,1.64285714285714
120,1.5,89,0.365,0.172535099673565,0.635,Inf,1,15.3042253521127,1,1.09090909090909
120,1.5,90,0.383,0.191107026273255,0.617,Inf,1,15.9206349206349,1,2.16666666666667
120,1.5,91,0.391,0.197952651094983,0.609,Inf,1,16.5505319148936,1,1.5
120,1.5,92,0.384,0.190758406490666,0.616,Inf,1,15.8522427440633,1,2.2
120,1.5,93,0.371,0.18340569834881,0.629,Inf,1,15.7173913043478,1,1
120,1.5,94,0.358,0.190980255443223,0.642,Inf,1,17.1396011396011,1,1.33333333333333
120,1.5,95,0.391,0.176718537064621,0.609,Inf,1,14.5065274151436,1,2.5
120,1.5,96,0.371,0.181567521313346,0.629,Inf,1,15.520325203252,1,1
120,1.5,97,0.385,0.181060437993218,0.615,Inf,1,14.9737532808399,1,1.66666666666667
120,1.5,98,0.396,0.205432130066872,0.604,Inf,1,16.7209302325581,1,1.14285714285714
120,1.5,99,0.374,0.170379995563021,0.626,Inf,1,14.5081081081081,1,1.8
120,1.5,100,0.385,0.199315437517827,0.615,Inf,1,16.5646437994723,1,1.55555555555556
160,2,1,0.435,0.219059994295313,0.565,169.515044247788,1,16.3002364066194,1,1.46153846153846
160,2,2,0.439,0.195163692834279,0.561,85.0346358792185,1,14.3770491803279,1,1.69230769230769
160,2,3,0.436,0.18118720882325,0.564,56.8763313609467,1,13.3053613053613,1,1.28571428571429
160,2,4,0.458,0.191994422083479,0.542,41.285394265233,1,13.410199556541,1,1.375
160,2,5,0.452,0.205337051944348,0.548,33.3575539568345,1,14.6553287981859,1,1.45454545454545
160,2,6,0.454,0.203308718663835,0.546,27.7847263980758,1,14.3910112359551,1,1.18181818181818
160,2,7,0.451,0.223116660856337,0.549,24.0941935483871,1,16.2453703703704,1,1.15
160,2,8,0.433,0.209045098722784,0.567,21.7379558757317,1,15.5876777251185,1,1.5
160,2,9,0.449,0.218933223465281,0.551,18.6563188463849,1,15.5643340857788,1,2.16666666666667
160,2,10,0.468,0.211358666370868,0.532,16.4617194570136,1,14.4923747276688,1,1.8
160,2,11,0.43,0.214939942319272,0.57,16.0045939294504,1,15.8065268065268,1,1
160,2,12,0.464,0.213735619433968,0.536,13.6662645151561,1,14.7675438596491,1,1.27272727272727
160,2,13,0.452,0.208696478940196,0.548,13.1650647722524,1,14.8642533936652,1,1.38461538461538
160,2,14,0.436,0.187335594079802,0.564,12.4756554307116,1,13.8009367681499,1,1.83333333333333
160,2,15,0.451,0.214781478781732,0.549,11.2936565364206,1,15.3590909090909,1,1.75
160,2,16,0.435,0.20879155706272,0.565,10.7087049791126,1,15.502358490566,1,1.33333333333333
160,2,17,0.444,0.209298640382848,0.556,10.0271964304685,1,15.1192660550459,1,1.5
160,2,18,0.453,0.214464551706652,0.547,9.28975903614458,1,15.1685393258427,1,1.81818181818182
160,2,19,0.446,0.220074160935569,0.554,8.90964428381206,1,15.7369614512472,1,0.857142857142857
160,2,20,0.445,0.204576426964156,0.555,8.53853103261361,1,14.8410138248848,1,1.25
160,2,21,0.429,0.186321427439546,0.571,8.24364261168385,1,14.0215311004785,1,1.58333333333333
160,2,22,0.418,0.212024213228536,0.582,8.09834724267714,1,16.1156626506024,1,0.75
160,2,23,0.443,0.205590593604412,0.557,7.4508177478676,1,14.9445727482679,1,1.6
160,2,24,0.451,0.201724083288435,0.549,6.89638355342137,1,14.2995495495495,1,2.125
160,2,25,0.431,0.200583145818147,0.569,7.02720011513276,1,15.0428571428571,1,1
160,2,26,0.423,0.202579786391151,0.577,6.80040071852978,1,15.3807228915663,1,1.1
