AsexualSexual,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0,1,0.119,5.10084033613445,0.881,Inf,1,5.12605042016807,1,6.07563025210084
0,2,0.116,2.72765957446809,0.884,Inf,1,5.57758620689655,1,6.47413793103448
0,3,0.125,1.74722222222222,0.875,Inf,1,5.08,1,5.984
0,4,0.124,1.30578512396694,0.876,Inf,1,5.18548387096774,1,6.00806451612903
0,5,0.103,0.805792163543441,0.897,Inf,1,4.63106796116505,1,5.55339805825243
0,6,0.109,0.640804597701149,0.891,Inf,1,4.14678899082569,1,5.03669724770642
0,7,0.126,0.78345498783455,0.874,Inf,1,5.19047619047619,1,6.03174603174603
0,8,0.111,0.619506966773848,0.889,Inf,1,5.22522522522523,1,6.18918918918919
0,9,0.118,0.508087535680305,0.882,Inf,1,4.55084745762712,1,5.5
0,10,0.122,0.51150895140665,0.878,Inf,1,4.95081967213115,1,5.88524590163934
0,11,0.11,0.437256430241621,0.89,Inf,1,5.13636363636364,1,6.06363636363636
0,12,0.112,0.379928315412186,0.888,Inf,1,4.79464285714286,1,5.66964285714286
0,13,0.105,0.36,0.895,Inf,1,5.16190476190476,1,6.11428571428571
0,14,0.127,0.402581438229871,0.873,Inf,1,5.18897637795276,1,6.1259842519685
0,15,0.105,0.286951501154734,0.895,Inf,1,4.77142857142857,1,5.6952380952381
0,16,0.117,0.28664142779881,0.883,Inf,1,4.5982905982906,1,5.46153846153846
0,17,0.113,0.285932721712538,0.887,Inf,1,4.99115044247788,1,5.93805309734513
0,18,0.111,0.244090689821515,0.889,Inf,1,4.58558558558559,1,5.53153153153153
0,19,0.12,0.260373917008664,0.88,Inf,1,4.83333333333333,1,5.68333333333333
0,20,0.119,0.277681660899654,0.881,Inf,1,5.4453781512605,1,6.33613445378151
0,21,0.113,0.26680412371134,0.887,Inf,1,5.75221238938053,1,6.69911504424779
0,22,0.107,0.2326224328594,0.893,Inf,1,5.51401869158879,1,6.49532710280374
0,23,0.125,0.22882950696274,0.875,Inf,1,4.92,1,5.808
0,24,0.101,0.172951414068165,0.899,Inf,1,4.76237623762376,1,5.68316831683168
0,25,0.121,0.186870441125391,0.879,Inf,1,4.51239669421488,1,5.3801652892562
0,26,0.119,0.195130086724483,0.881,Inf,1,4.96638655462185,1,5.86554621848739
0,27,0.106,0.192332474226804,0.894,Inf,1,5.66981132075472,1,6.59433962264151
0,28,0.103,0.187402556906766,0.897,Inf,1,5.90291262135922,1,6.76699029126214
0,29,0.111,0.187160940325497,0.889,Inf,1,5.62162162162162,1,6.56756756756757
0,30,0.126,0.18815331010453,0.874,Inf,1,5.19047619047619,1,6.09523809523809
0,31,0.11,0.142093415869443,0.89,Inf,1,4.63636363636364,1,5.54545454545455
0,32,0.125,0.182114705082903,0.875,Inf,1,5.416,1,6.304
0,33,0.122,0.18442515127598,0.878,Inf,1,5.80327868852459,1,6.68852459016393
0,34,0.133,0.171326893746823,0.867,Inf,1,5.11278195488722,1,6.02255639097744
0,35,0.122,0.164694280078895,0.878,Inf,1,5.50819672131148,1,6.4344262295082
0,36,0.119,0.128862275449102,0.881,Inf,1,4.57983193277311,1,5.46218487394958
0,37,0.118,0.140228278593058,0.882,Inf,1,5.1271186440678,1,6.07627118644068
0,38,0.11,0.121508062684533,0.89,Inf,1,4.87272727272727,1,5.85454545454545
0,39,0.111,0.140451927337173,0.889,Inf,1,5.72972972972973,1,6.69369369369369
0,40,0.121,0.131823085221143,0.879,Inf,1,5.09090909090909,1,6.00826446280992
0,41,0.118,0.131075110456554,0.882,Inf,1,5.33898305084746,1,6.22033898305085
0,42,0.124,0.130408037728112,0.876,Inf,1,5.17741935483871,1,6.08064516129032
0,43,0.103,0.121084337349398,0.897,Inf,1,5.87378640776699,1,6.8252427184466
0,44,0.103,0.0901042691324021,0.897,Inf,1,4.49514563106796,1,5.39805825242718
0,45,0.086,0.0804797833236603,0.914,Inf,1,4.86046511627907,1,5.81395348837209
0,46,0.117,0.109534619750284,0.883,Inf,1,5.01709401709402,1,5.88034188034188
0,47,0.108,0.10604375231739,0.892,Inf,1,5.36111111111111,1,6.23148148148148
0,48,0.093,0.085657007472207,0.907,Inf,1,5.11827956989247,1,5.98924731182796
