SeedDensity,PlantDensity,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
80,1,71,0.301,0.223967604129583,0.699,Inf,1,16.7408637873754,1,17.7009966777409
80,1,72,0.335,0.272109440084185,0.665,Inf,1,18.5432835820896,1,19.5074626865672
80,1,73,0.295,0.234265431564367,0.705,Inf,1,18.3559322033898,1,19.335593220339
80,1,74,0.309,0.231045235145872,0.691,Inf,1,17.5339805825243,1,18.4757281553398
80,1,75,0.316,0.206852952332785,0.684,Inf,1,15.5537974683544,1,16.5094936708861
80,1,76,0.318,0.233936369307548,0.682,Inf,1,17.6949685534591,1,18.6823899371069
80,1,77,0.307,0.194480946123522,0.693,Inf,1,15.4397394136808,1,16.413680781759
80,1,78,0.33,0.202941414796208,0.67,Inf,1,15.2,1,16.1575757575758
80,1,79,0.311,0.20033609410635,0.689,Inf,1,16.1157556270096,1,17.0836012861736
80,1,80,0.32,0.183700075060246,0.68,Inf,1,14.546875,1,15.515625
80,1,81,0.322,0.233664911254145,0.678,Inf,1,18.6149068322981,1,19.5900621118012
80,1,82,0.307,0.199444915580911,0.693,Inf,1,16.8631921824104,1,17.8436482084691
80,1,83,0.33,0.204285931790499,0.67,Inf,1,16.2727272727273,1,17.2545454545455
80,1,84,0.287,0.197070672841598,0.713,Inf,1,18.2613240418118,1,19.212543554007
80,1,85,0.305,0.169185527099464,0.695,Inf,1,14.9114754098361,1,15.8918032786885
80,1,86,0.305,0.192204350546579,0.695,Inf,1,17.144262295082,1,18.0983606557377
80,1,87,0.314,0.191172724957246,0.686,Inf,1,16.7547770700637,1,17.7101910828025
80,1,88,0.336,0.195693590711384,0.664,Inf,1,16.2113095238095,1,17.1934523809524
80,1,89,0.309,0.210821956769056,0.691,Inf,1,19.2006472491909,1,20.1812297734628
80,1,90,0.308,0.197812631875088,0.692,Inf,1,18.2792207792208,1,19.2467532467532
80,1,91,0.343,0.233017130546579,0.657,Inf,1,19.5685131195335,1,20.530612244898
80,1,92,0.301,0.183218707015131,0.699,Inf,1,17.7109634551495,1,18.6910299003322
80,1,93,0.286,0.177245794456174,0.714,Inf,1,18.2097902097902,1,19.1888111888112
80,1,94,0.286,0.130008093889114,0.714,Inf,1,13.5034965034965,1,14.4545454545455
80,1,95,0.315,0.178596456101712,0.685,Inf,1,16.9968253968254,1,17.984126984127
80,1,96,0.341,0.203213672957635,0.659,Inf,1,18.0733137829912,1,19.049853372434
80,1,97,0.313,0.17768851441821,0.687,Inf,1,17.3865814696486,1,18.3801916932907
80,1,98,0.337,0.180405710963241,0.663,Inf,1,16.593471810089,1,17.5519287833828
80,1,99,0.314,0.160463034024047,0.686,Inf,1,16,1,16.9617834394904
80,1,100,0.301,0.164285940518798,0.699,Inf,1,17.2491694352159,1,18.2159468438538
120,1.5,1,0.402,0.209672821714756,0.598,Inf,1,16.4751243781095,1,17.4601990049751
120,1.5,2,0.354,0.168720108953853,0.646,Inf,1,15.0734463276836,1,16.0225988700565
120,1.5,3,0.411,0.207582428023944,0.589,Inf,1,15.963503649635,1,16.9294403892944
120,1.5,4,0.378,0.190194153232192,0.622,Inf,1,15.9047619047619,1,16.8650793650794
120,1.5,5,0.365,0.182941120577709,0.635,Inf,1,15.8547945205479,1,16.7945205479452
120,1.5,6,0.391,0.184208025844867,0.609,Inf,1,14.8874680306905,1,15.8618925831202
120,1.5,7,0.408,0.20527032591138,0.592,Inf,1,15.9093137254902,1,16.8602941176471
120,1.5,8,0.388,0.199474234314129,0.612,Inf,1,16.2448453608247,1,17.2164948453608
120,1.5,9,0.393,0.191080986919203,0.607,Inf,1,15.3638676844784,1,16.3358778625954
120,1.5,10,0.391,0.193203053241694,0.609,Inf,1,15.6265984654731,1,16.5754475703325
120,1.5,11,0.384,0.192221201659646,0.616,Inf,1,15.8151041666667,1,16.7942708333333
120,1.5,12,0.376,0.18902226586007,0.624,Inf,1,15.8829787234043,1,16.8617021276596
120,1.5,13,0.392,0.190922623760808,0.608,Inf,1,15.3877551020408,1,16.3673469387755
120,1.5,14,0.399,0.206980648022044,0.601,Inf,1,16.3884711779449,1,17.3684210526316
120,1.5,15,0.403,0.184366389003262,0.597,Inf,1,14.4615384615385,1,15.4267990074442
120,1.5,16,0.392,0.194374940613816,0.608,Inf,1,15.6683673469388,1,16.6428571428571
120,1.5,17,0.398,0.20770911855066,0.602,Inf,1,16.5,1,17.4547738693467
120,1.5,18,0.414,0.234662528109461,0.586,Inf,1,17.9178743961353,1,18.8743961352657
120,1.5,19,0.368,0.167674912108447,0.632,Inf,1,14.4157608695652,1,15.3559782608696
120,1.5,20,0.387,0.191302695340956,0.613,Inf,1,15.625322997416,1,16.5891472868217
120,1.5,21,0.379,0.188483831121528,0.621,Inf,1,15.712401055409,1,16.6912928759894
120,1.5,22,0.402,0.19852405536376,0.598,Inf,1,15.6044776119403,1,16.5796019900498
120,1.5,23,0.369,0.185221550058594,0.631,Inf,1,15.8536585365854,1,16.8428184281843
